Product Name,File Path,Config file name,Type,Search Provider Used,Content Delivery (CD),Content Management (CM),Processing,CM + Processing,Reporting,Reporting Client
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.Lucene.Index.Web.config,config,Lucene is used,Enable,Disable,Disable,Disable,Disable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.Lucene.Indexes.Sharded.Core.config.example,example,Lucene is used,Disable,Disable,Disable,Disable,Disable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.Lucene.Indexes.Sharded.Master.config.example,example,Lucene is used,Disable,Disable,Disable,Disable,Disable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.Lucene.Indexes.Sharded.Web.config.example,example,Lucene is used,Disable,Disable,Disable,Disable,Disable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.Solr.DefaultIndexConfiguration.config.example,example,Solr is used,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.ContentSearch.Solr.DefaultIndexConfiguration.Xdb.config.example,example,Solr is used,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.ContentSearch.Solr.Index.Analytics.config.example,example,Solr is used,Enable,Enable,Enable,Enable,Enable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.Solr.Index.Core.config.example,example,Solr is used,Disable,Enable,Enable,Enable,Disable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.Solr.Index.Master.config.example,example,Solr is used,Disable,Enable,Enable,Enable,Disable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.Solr.Index.Web.config.example,example,Solr is used,Enable,Disable,Disable,Disable,Disable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.SolrCloud.SwitchOnRebuild.config.example,example,Solr is used,Disable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.ContentSearch.Azure.DefaultIndexConfiguration.config.disabled,config,Azure is used,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.ContentSearch.Azure.Index.Analytics.config.disabled,config,Azure is used,Enable,Enable,Enable,Enable,Enable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.Azure.Index.Core.config.disabled,config,Azure is used,Enable,Enable,Enable,Enable,Enable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.Azure.Index.Master.config.disabled ,config,Azure is used,Disable,Enable,Enable,Enable,Enable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.Azure.Index.Web.config.disabled ,config,Azure is used,Enable,Disable,Disable,Disable,Disable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.VerboseLogging.config.example,example,,n/a,n/a,n/a,n/a,n/a,n/a
